"Symbol","Expiry1 IV","Expiry2 IV","Expiry3 IV","IV30","IV90","IV60","Expiry4 IV"
"CRNT",82.28,61.83,77.16,73.5217,77.2149,67.3058,77.6
"CROC",21.66,20.56,20.35,21.1864,20.2802,20.4807,19.84
"CRON",76.62,79.61,84,75.6326,82.7477,80.3936,82.06
"CROX",59.73,53.88,59.34,57.2228,59.1877,55.8289,58.19
"CRS",53.93,55.95,56.81,54.797,56.8942,56.2561,57.47
"CRSP",76.73,83.46,82.22,79.7083,82.5732,83.2405,83.56
"CRSR",103.79,110.15,106.99,106.5131,108.761,109.8012,99.55
"CRTO",52.12,62.33,59.28,56.4942,60.1517,61.7861,58.62
"CRTX",114.02,106.94,90.74,110.987,95.3661,104.0518,82.05
"CRUS",34.82,43.89,40.73,45.6639,40.6654,42.7575,40.25
"CRVL",30.39,35.96,34.8,32.7806,35.1302,35.7564,33.74
"CRVS",166.37,146.62,148.43,157.9117,147.9124,146.9396,138.85
"CRWD",52.21,54.53,60.75,53.2092,60.1652,56.7518,59.39
"CRWS",0,43.03,34.74,43.028,35.7995,40.0681,42.72
"CRY",57.21,56.04,54.95,56.7074,55.2634,55.8451,52.76
"CS",30.51,33.49,34.75,31.7826,34.7789,33.937,34.99
"CSCO",21.99,28.52,26.98,22.0701,27.0291,27.9704,27.09
"CSD",33.73,30.98,23.58,32.5495,25.6907,29.6586,26.04
"CSGP",28.26,28.64,32.44,28.4211,31.3543,29.3188,32.56
"CSGS",70.06,34.25,35.74,54.7253,35.6125,34.786,34.74
"CSII",76.96,64.2,60.35,71.4975,60.2948,62.8254,59.95
"CSIQ",66.19,68.91,70.89,73.0116,70.3223,69.261,69.52
"CSL",29.06,33.26,33.61,30.8544,33.4953,33.383,32.73
"CSLT",0,191.57,148,191.567,172.4136,186.782,151.89
"CSOD",34.07,41.64,40.9,37.3111,41.3163,41.5613,40.76
"CSPR",85.74,97.69,104.14,90.8569,103.2205,99.9946,97.22
"CSR",34.58,26.7,30.5,31.2016,30.7165,28.0573,32.12
"CSTE",55.37,56.58,52.54,55.8912,53.694,55.8621,51.56
"CSTL",70.78,70.81,67.28,70.7912,68.2876,70.1768,66
"CSTM",56.2,63.79,65.9,65.1791,65.7889,64.5431,65.3
"CSU",0,0,0,0,0,0,0
"CSV",39.72,49.28,42.1,43.8113,44.147,47.9967,41.37
"CSWC",26.15,44.27,32.51,33.9103,32.5961,40.0712,33.15
"CSX",27.82,30.31,30.17,31.3494,30.0681,30.2614,29.64
"CTAS",28.35,28.63,31.18,28.4698,29.7509,28.9116,30.47
"CTB",42.02,43.31,45.09,42.5736,44.0939,43.5049,44.2
"CTBI",32.21,33.32,34.1,32.6857,33.9858,33.5954,33.25
"CTG",92.79,81.24,56.64,87.8459,63.6611,76.85,65.86
"CTIC",158.84,140.88,134.37,151.1486,135.8545,138.552,145.61
"CTLT",44.9,45.71,44.4,45.2468,44.7773,45.478,40.35
"CTMX",132.64,86.03,88.16,112.6743,86.9646,86.2619,111.99
"CTRA",0,95.74,77.64,95.7414,87.7823,93.753,97.52
"CTRE",27.92,31.1,35.56,29.2814,34.2871,31.8931,35.65
"CTRN",57.63,56.29,56.29,57.057,56.2885,56.2889,56.52
"CTS",48.41,41.11,41.17,41.1074,41.1556,41.1195,37.86
"CTSH",27.49,32.51,30.96,27.7672,30.8304,31.9553,30.65
"CTSO",123.89,81.83,92.22,105.8753,86.4005,82.9723,84.02
"CTT",0,28.01,34.5,28.0086,30.8635,28.7219,35.24
"CTVA",32.1,37.32,36.51,34.3391,36.548,37.0307,36.83
"CTXS",27.96,33.09,32.02,35.0975,31.891,32.7087,31.01
"CUB",46.57,48.36,46.4,47.3358,46.9614,48.0102,46.86
"CUBE",21.75,24.09,26.98,22.7509,25.3585,24.4038,29
"CUBI",51.38,71.42,59.95,59.9602,66.3751,70.1585,60.78
"CUE",116.73,120.66,112.22,118.4122,114.6306,119.1566,107.74
"CUK",79.45,76.86,77.36,78.3407,77.0841,76.9194,80.05
"CULP",51.42,52.78,51.2,52.005,51.6504,52.4997,53.11
"CURE",64.63,58.17,58.55,61.8639,58.3356,58.2082,58.29
"CURO",72.81,93.07,90.91,81.4866,91.5247,92.6823,88.79
"CUTR",61.6,67.21,66.48,63.9998,66.7075,66.947,68.2
"CUZ",0,51.83,44.99,44.9881,44.9881,44.9881,42.61
"CVA",36.8,39.83,40.49,38.0995,40.4957,40.0681,40.5
"CVAC",107.75,112.55,108.61,109.8028,109.7303,111.8437,102.87
"CVBF",30.65,31.45,31.71,30.9945,31.8129,31.5435,32.48
"CVCO",38.42,48.13,45.65,42.5742,45.6102,47.2397,45.37
"CVCY",75.07,50.81,43.71,50.809,43.5042,48.2706,42.18
"CVE",74.83,67.91,68.23,71.8661,68.4237,68.0249,69.67
"CVEO",86.44,91.59,94.29,88.6453,92.7769,91.8857,93.96
"CVET",70.8,60.77,59.25,66.502,60.1003,60.599,60.86
"CVGI",74.82,64.58,69.28,70.4349,69.0622,66.2609,67.65
"CVGW",41.13,36.69,40.25,39.228,39.2335,37.3247,39.89
"CVI",64.14,63.31,63.53,63.782,63.7742,63.3855,65.4
"CVIAQ",0,0,0,0,0,0,0
"CVLG",92.37,68.08,64.27,81.9677,65.4616,66.7166,73.31
"CVLT",34.35,41.74,38.61,37.5127,39.5053,41.1805,38.59
"CVM",205.84,201.09,201.99,203.8083,201.7326,201.2518,179.77
"CVNA",60.71,66.95,70.48,63.9934,68.5021,67.3375,68.19
"CVS",27.19,29.4,29.18,28.2346,29.2992,29.3717,29.01
"CVX",35.73,39.04,37.66,36.3976,37.5384,38.5513,36.71
"CVY",21.22,33.14,36.37,26.3256,35.4218,34.292,29.2
"CW",41.31,35.94,36.96,39.0115,37.0458,36.303,37.6
"CWB",19.65,23.96,25.52,21.4927,25.076,24.2354,26.64
"CWCO",35.29,44.84,31.47,44.8449,38.9657,43.3762,34.62
"CWEB",68.22,64.55,64.23,66.6451,64.3214,64.4912,63.89
"CWEN",35.55,32.73,32.86,34.342,32.7828,32.7396,33.72
"CWEN.A",44.64,45.44,31.81,44.986,34.1043,40.5717,49.16
"CWH",67.94,70.19,76.68,67.9527,76.342,72.5121,74.11
"CWI",0,0,0,0,0,0,0
"CWK",47.89,49.94,54.43,48.7671,51.9131,50.4337,60.65
"CWST",49.42,32,31.58,41.9595,31.9734,31.8506,34.58
"CWT",32.05,35.78,32.47,33.6443,32.8591,34.595,35.42
"CX",46.51,49.72,52.22,47.8833,52.5548,50.6115,53
"CXDC",0,0,0,0,0,0,0
"CXO",45,47.02,47.3,43.1854,47.246,47.1173,46.92
"CXP",43.99,51.9,0,47.3747,50.9554,51.6604,48.44
"CXW",71.32,66.46,71.24,69.2392,70.9181,68.1657,68.82
"CYB",9.92,8.81,10.52,9.444,10.0337,9.1134,10.64
"CYBE",73.98,64.16,66.73,69.7788,65.2937,64.4468,63.12
"CYBR",39.94,50.66,45.97,43.5082,47.3083,49.8237,46.56
"CYCN",110.46,115.37,127.34,112.5624,120.6309,116.6821,130.76
"CYD",47.39,49.92,47.8,48.4758,48.9918,49.6905,49.28
"CYH",87.83,90.04,82.95,86.299,82.6643,87.5088,80.77
"CYRX",74.68,78,81.99,76.1041,81.9316,79.4279,81.67
"CYTK",72.8,82.05,85.37,76.7639,83.5124,82.4187,91.31
"CZNC",68.71,0,48.24,63.8344,48.2392,54.0802,48.25
"CZR",56.03,59.16,63.5,58.4944,63.5505,60.7097,63.86
"CZZ",47.58,48.87,51.86,48.1341,52.2256,49.9396,54.65
"D",20.74,22.01,23,21.2869,22.7172,22.187,23.23
"DAC",89.9,91.4,93.84,90.5382,93.1392,91.831,89.45
"DADA",96.1,100.88,102.96,98.1435,102.368,101.25,101.62
"DAKT",56.91,66.12,60.36,66.121,62.0024,65.0921,54.02
"DAL",50.42,49.31,48.96,50.4203,49.047,49.1828,49.6
"DAN",49.5,52.01,53.78,50.5753,53.7808,52.6402,53.8
"DAO",85.62,83.84,85.32,84.8555,84.4926,84.0027,86.68
"DAR",46.7,41.78,43.69,44.5951,43.1475,42.1248,43.01
"DASH",77.09,82.27,82.37,77.3231,82.3136,82.2799,78.58
"DB",34.87,40.31,39.54,37.605,39.7614,40.1761,40.1
"DBA",20.28,17.8,20.26,19.2179,19.5588,18.2413,19.13
"DBB",16.38,21.86,25.16,81.7743,81.7743,81.7743,81.77
"DBC",59.15,21.48,22.39,21.4808,22.1303,21.643,24.27
"DBD",67.03,82.5,81.01,73.6562,81.8497,82.3412,79.3
"DBE",46.27,58.31,36.23,58.3097,42.5328,54.3683,29.89
"DBEF",46.58,28.04,20.71,38.6379,24.8169,27.2357,24.86
"DBEU",30.77,39.52,25.05,34.519,29.1802,36.9382,23.69
"DBI",83.7,77.36,81.82,80.9854,80.5463,78.1595,81.47
"DBJP",35,25.99,26.03,31.1444,26.2812,26.0066,27.94
"DBO",38.62,35.84,36.24,37.4286,36.1252,35.9117,37.49
"DBP",24.18,30.96,31.13,27.0851,31.0833,30.9914,27.47
"DBS",40.95,48.94,43.59,44.375,45.1181,47.9869,43.93
"DBV",60.88,36.94,32.56,36.9387,31.7413,35.373,26.39
"DBVT",169.35,166.75,157.22,168.2334,162.5592,165.7021,158.18
"DBX",44.96,50.98,52.96,48.9679,52.396,51.3306,50.96
"DCI",26.19,26.58,28.87,26.3595,27.5856,26.8319,29.04
"DCO",39.57,52.6,48.65,45.1482,49.1429,51.1862,52.39
"DCOM",0,51.06,38.74,51.0567,39.6949,46.654,45.99
"DCP",61.3,64.03,61.69,62.4677,62.3589,63.6098,61.27
"DCPH",72.83,63.57,65.99,68.8668,65.2995,64.0022,62.23
"DCT",58.82,53.78,56.33,56.6609,55.602,54.2379,55.7
"DD",44.28,38.66,32.17,34.6859,33.3284,36.3432,34.87
"DDD",71.49,74.3,80.67,73.5976,77.0975,74.9952,79.77
"DDG",0,0,0,0,0,0,0
"DDM",38.35,37.03,38.39,37.7812,38.0018,37.2694,39.61
"DDOG",52,62.79,60.01,53.6964,59.3926,61.7929,58.58
"DDS",69.71,74.23,78.89,71.6458,78.3648,75.8981,76.13
"DE",26.31,30.98,30.91,27.9833,30.8721,30.9542,30.63
"DEA",13.52,19.59,23.02,16.1181,22.6568,20.8127,20.3
"DECK",38.24,46.11,44.34,41.614,44.1791,45.4808,43.12
"DEEP",0,0,30.66,30.6646,30.6646,30.6646,30.69
"DEI",61.55,45.94,50.14,54.8633,48.9435,46.6913,30.31
"DELL",32.09,31.85,35.04,31.9896,34.1271,32.4198,34.69
"DEM",17.9,17.77,18.65,17.846,18.8782,18.085,20.36
"DENN",55.52,61.26,65.02,57.9784,62.9101,61.6709,64.2
"DEO",23.63,25.8,24.9,24.5613,25.1585,25.6387,24.42
"DES",38.21,32.06,31.38,35.5732,31.5745,31.9374,25.71
"DESP",54.24,57.52,61.16,55.6454,60.1235,58.1702,61.62
"DFE",26.44,22.99,20.64,24.9636,21.9606,22.7363,24.69
"DFEN",71.78,79.66,86.47,75.1553,84.5256,80.8764,93.34
"DFIN",65.06,62.34,65.68,63.8929,64.7299,62.9362,64.73
"DFJ",0,0,0,0,0,0,0
"DFODQ",0,0,0,0,0,0,0
"DFS",39.38,41.94,41.17,41.9306,41.3918,41.8036,41.65
"DG",20.14,22.43,24.39,22.1535,23.2915,22.6478,24.54
"DGICA",117.64,43.83,31.81,31.8082,31.8082,31.8082,39.11
"DGII",56.94,60.89,57.08,58.6313,56.976,59.5263,56.3
"DGL",40.67,25.59,23.23,34.2108,23.8998,25.1649,20.76
"DGLY",151.23,135.61,136.17,144.5419,135.8585,135.6724,132.73
"DGRO",30.51,17.24,22.26,17.2429,22.368,19.0358,23.07
"DGRW",24.27,23,20.28,23.728,21.8058,22.705,21.46
"DGS",15.09,17.34,17.98,16.0524,18.113,17.5663,19.01
"DGX",26.11,28.13,28.7,26.9707,28.38,28.1896,28.88
"DHC",0,58.12,75.01,58.1165,73.5881,64.1542,64.24
"DHI",34.2,40.23,42.45,39.7219,41.2061,40.4717,41.7
"DHR",28.27,28.8,29.6,28.4982,29.4565,29.0879,28.49
"DHT",44.05,49.24,49.74,46.2721,49.5986,49.3332,50.46
"DHX",78.37,70.53,64.49,75.0134,67.8771,69.8681,75.98
"DIA",18.22,19.3,19.27,18.1318,19.93,19.2871,20.53
"DIG",74.38,73,74.45,73.7885,74.1602,73.5214,72.24
"DIN",63.13,63.14,64.14,63.1335,64.0818,63.4943,63.73
"DIOD",48.66,44.52,40.78,46.8879,40.6534,43.1845,39.81
"DIS",30.86,34.77,35.4,32.1357,35.2763,34.9965,35.12
"DISCA",37.27,39.86,42.43,38.3772,42.327,40.7763,42.19
"DISCK",40.65,39.52,41.11,40.1703,41.1478,40.0915,41.39
"DISH",45.3,56.56,58.27,54.8099,58.3843,57.1721,59.14
"DJP",17.59,17.51,18.97,17.5572,18.5522,17.7712,21.54
"DK",75.59,72.64,73.41,74.327,73.1887,72.7766,72.56
"DKL",44.55,47.69,46.78,45.8953,47.2876,47.586,47.39
"DKNG",68.26,73.02,76.13,68.5792,75.6204,74.1292,73.47
"DKS",42.23,42.8,49.33,42.0885,48.9744,45.1359,46.63
"DLB",27.33,31.53,31.36,29.1308,31.4269,31.4698,31.88
"DLN",16.87,16.72,18.63,16.8056,18.084,17.0628,19.52
"DLNG",75.59,82.85,86.44,78.6978,85.4173,83.4918,85.63
"DLR",25.32,27.7,28.62,26.3378,28.3579,27.8638,28.48
"DLS",0,0,0,0,0,0,0
"DLTH",67.02,63.78,69.16,65.6329,66.1433,64.3697,69.7
"DLTR",27.03,28.49,33.57,28.2239,33.2478,30.3027,31.88
"DLX",43.69,54.07,51.04,48.1326,51.9007,53.5258,53.25
"DM",100.07,97.4,97.55,98.9273,97.4633,97.4141,97.52
"DMAC",139.49,182.53,123.25,157.9268,140.1656,171.9487,128.81
"DMLP",67.69,39.38,38.09,39.3812,38.8148,39.2397,39.16
"DMRC",80.11,84.21,85.96,81.8679,85.9683,84.8335,86.05
"DMTK",121.33,100.11,99.78,112.2399,99.4054,99.9923,96.92
"DNB",30.02,53,39.82,39.8633,43.5814,50.6449,39.14
"DNKN",0,0,0,0,0,0,0
"DNLI",71.81,68.93,68.01,70.5801,67.8499,68.6045,66.8
"DNN",0,0,209.58,209.5761,209.5761,209.5761,175.52
"DNOW",62.33,68.41,69.06,64.9349,68.6987,68.4836,67.17
"DNRCQ",0,0,0,0,0,0,0
"DOC",24.79,28.52,30.49,26.3849,29.927,28.8702,30.63
"DOCU",45.75,47.47,53.91,47.8681,53.5231,49.7703,51.02
"DOFSQ",0,0,0,0,0,0,0
"DOG",18.47,20.07,21.54,19.157,20.7173,20.2323,21.63
"DOMO",66.18,65.88,73.58,66.0494,69.2675,66.7268,72.63
"DON",20.68,34.93,28.97,26.7829,28.7205,32.8028,27.07
"DOOR",40.36,44.51,44.85,42.1373,44.7517,44.5703,46.06
"DORM",41.64,36.49,39.92,39.431,37.9979,36.8647,39.92
"DOV",23.08,26.79,27.07,24.6666,27.0842,26.8893,27.18
"DOW",32.8,36.61,38.17,37.6349,37.992,37.1668,36.81
"DOX",19.55,24,23.89,21.4562,23.9242,23.9839,24.24
"DOYU",111.41,88.58,96.09,101.632,91.8811,89.4029,80
"DPST",105.38,107.59,108.53,106.3267,109.0149,107.9264,112.18
"DPW",231.2,239.79,247.77,234.8789,246.4744,242.6449,237.94
"DPZ",26.34,30.77,33.3,27.2235,33.2396,31.6748,32.86
"DQ",103.37,98.65,98.23,101.351,98.3527,98.5776,90.75
"DRD",66.43,63.95,67.95,65.3715,65.7118,64.3924,69.24
"DRE",23.79,26.33,25.77,24.8761,25.7885,26.1288,25.94
"DRH",84.85,54.09,67.63,71.6732,65.9035,58.9259,54.56
"DRI",38.78,40.1,43.16,39.3449,42.2855,40.6453,42.79
"DRIP",99.85,99.37,92.96,99.6438,93.4463,97.0818,96.62
"DRIV",37.98,42,42.92,39.7049,42.754,42.3309,41.64
"DRN",56.1,58.69,63.9,57.2106,60.9816,59.2656,63.66
"DRNA",70.2,102.31,62.67,83.9523,73.9846,95.2347,66.17
"DRQ",51.74,54.25,53.83,52.8153,53.7145,54.0979,52.98
"DRRX",147.15,104.01,88.37,128.6751,92.8368,101.2201,95.7
"DRV",59.3,62.73,70.35,60.7717,66.0823,63.5703,73
"DS",110.58,114.04,101.15,112.0603,108.3725,112.6216,101.39
"DSKE",91.66,81.07,79.92,87.1238,80.5642,80.9438,81.03
"DSL",0,26.24,23.06,23.0578,23.0578,23.0578,24.23
"DSPG",58.33,50.8,49.72,50.7996,50.0263,50.6064,51.91
"DSX",75.92,90.23,75.81,82.0462,76.6533,85.0753,82.21
"DT",47.32,54.89,55.58,50.5607,55.191,54.9642,54.76
"DTE",22.37,23.75,24.44,22.9604,24.2436,23.8733,24.93
"DTEA",128.55,132.53,148.02,130.2522,139.3415,134.2305,146.93
"DTEC",56.89,28.59,25.03,28.5876,25.0586,27.3149,25.27
"DTIL",119.55,107.84,128.74,114.5359,127.3387,115.3091,118.15
"DTN",18.96,18.73,19.11,18.8617,18.8978,18.774,19.42
"DUG",74.13,73.6,74.92,73.9065,74.5416,73.8382,73.84
"DUK",19.99,22.75,22.15,21.1724,22.3204,22.6404,22.93
"DUSL",0,71.25,75.3,71.2533,75.5518,72.7008,77.18
"DUST",64.89,74.42,75.95,71.4204,75.867,74.968,75.29
"DVA",28.92,33.69,32.02,32.3047,32.5004,33.3948,32.14
"DVAX",99.49,101.56,104.77,100.3742,103.8503,102.1292,102.74
"DVN",63.15,64.6,64.16,60.6594,64.2831,64.5183,63.8
"DVY",18.91,20.18,21.86,19.4561,21.8248,20.7809,21.57
"DWAS",39.68,34.86,34.03,37.6146,33.7342,34.56,31.82
"DWX",25.4,28.54,18.87,28.5413,19.0977,25.0838,20.62
"DX",28.82,29.6,30.86,29.154,31.0333,30.0545,32.14
"DXC",62.42,64.85,60.73,63.463,60.5829,63.3783,59.63
"DXCM",46.77,52.45,49.01,49.2004,48.8633,51.2188,47.93
"DXD",43.89,43.4,44,43.6807,43.8293,43.5081,44.21
"DXJ",16.47,18,18.89,17.1282,18.3951,18.1014,19.4
"DXJS",39.31,23.27,30.64,23.2731,29.8446,25.9068,24.6
"DXLG",0,0,0,0,0,0,0
"DXPE",79.53,71.14,76.17,75.9368,73.3502,71.6933,73.94
"DXYN",84.86,161.35,97.8,97.8015,99.883,97.8015,113.54
"DY",55.21,54.38,61.9,54.8581,61.8477,57.0689,61.52
"DYAI",74.44,87.7,97.07,80.1191,91.8212,88.7327,103.11
"E",32.25,34.83,35.42,33.3571,35.0936,34.8995,37.37
"EA",26.52,35.14,33.1,28.9134,33.1627,34.4085,33.59
"EAF",59.84,60.79,61.31,60.2506,61.1619,60.8867,61.16
"EAT",58,64.19,60.87,60.6509,61.818,63.5994,61.24
"EB",62.53,62.89,71.18,62.6859,68.8175,64.3699,70.27
"EBAY",31.31,38.69,37.45,38.9818,36.8186,38.2478,35.98
"EBC",35.56,28.4,29.25,28.4049,28.7759,28.4976,28.39
"EBF",35.6,27.44,29.35,32.103,27.437,27.437,31.73
"EBIX",62.21,58.26,64.59,60.5197,64.5075,60.5207,63.95
"EBIZ",63.54,0,41.9,63.5438,63.5438,63.5438,37.07
"EBND",0,86.45,0,86.4547,86.4547,86.4547,0
"EBS",95.13,82.58,78.4,89.7526,77.6528,81.0842,72.75
"EBSB",0,59.09,46.07,59.0865,53.3634,57.6568,43.35
"EC",42.65,40.45,51.68,41.7079,45.3879,41.6862,49.87
"ECH",26.12,26.24,29.11,26.1703,27.5022,26.5533,29.64
"ECHO",42.48,52.51,56.98,52.5084,57.1432,54.1049,58.24
"ECL",25.26,24.86,26.1,25.089,25.749,25.0822,26.5
"ECNS",0,0,0,0,0,0,0
"ECOL",37.79,38.97,43.05,38.2963,42.9928,40.4254,42.65
"ECOM",56.74,63.97,62.55,59.8372,62.6438,63.4638,63.29
"ECON",19.82,19.21,20.04,19.5618,20.1889,19.5094,21.16
"ECPG",51.27,57.39,62.21,53.8926,61.8794,59.1088,59.74
"ED",21.4,25.19,24.48,22.725,24.8795,25.1143,23.49
"EDAP",58.85,70.71,67.39,70.7064,69.2465,70.3417,76.66
"EDC",54.54,53.03,57.57,53.8968,56.273,53.8429,58.21
"EDIT",105.15,134.13,120.36,129.8925,128.0783,132.621,110.11
"EDIV",17.33,17.52,19.36,17.4115,18.8337,17.8498,20.07
"EDOC",46.82,0,39.31,45.0292,38.4152,41.4536,32.53
"EDU",36.54,42.9,39.76,39.2643,40.652,42.3362,38.98
"EDZ",54.47,57,61.19,55.5518,59.9932,57.7445,64.9
"EEFT",35.6,39.06,39.16,37.0824,39.1049,39.0748,38.67
"EEM",19.13,20.31,20.97,19.582,23.4933,20.5452,21.71
"EEMV",13.11,14.22,14.88,13.5849,15.0203,14.4562,15.91
"EET",38.81,38.03,41.07,38.4775,40.2024,38.5708,43.32
"EEV",38.93,41.69,42.11,40.1099,42.5182,41.8366,45.22
"EEX",88.31,82.18,82.14,85.6863,82.4181,82.1647,84.27
"EFA",16.92,17.4,18.19,17.0829,20.3254,17.6815,19.81
"EFAV",13.75,13.49,15.27,13.6422,15.2648,14.1292,15.2
"EFC",27.01,31.65,36.65,28.9979,35.2224,32.54,34.97
"EFG",19.44,19.3,18.17,19.3836,18.8038,19.1794,18.55
"EFOI",0,0,0,0,0,0,0
"EFSC",38.96,42.06,42.15,40.2876,42.1149,42.0896,41.91
"EFV",20.09,21.29,23.23,20.6027,23.2322,21.9815,23.37
"EFX",27.37,31.59,31.06,29.176,31.2132,31.4923,31.24
"EFZ",10.92,15.92,16.78,13.0633,16.8747,16.2242,17.53
"EGAN",61.73,81.98,75.55,70.403,79.1543,81.2732,72.75
"EGBN",46.55,46.29,45.11,46.4406,45.0865,45.8712,44.91
"EGHT",52.45,64.33,57.63,57.5347,61.3809,63.5898,57.12
"EGLE",0,0,0,0,0,0,0
"EGO",59.28,59.23,61.97,59.256,61.1851,59.7183,60.93
"EGOV",33.78,40.02,35.31,36.4518,36.6558,39.1825,35.92
"EGP",25.72,24.21,25.14,24.2057,25.0787,24.539,24.69
"EGRX",75.1,64.41,54.91,70.5239,55.6296,61.0152,60.37
"EGY",0,107.94,106.08,107.944,106.6094,107.6106,102.25
"EHC",32.25,33.08,31.19,32.6079,31.7287,32.7457,31.27
"EHTH",60.76,66.27,69.98,63.1215,67.9039,66.6813,70.1
"EIDO",28.15,29.37,31.77,28.6732,31.0829,29.801,34.93
"EIDX",36.52,34.88,35.67,35.8159,35.2279,34.9689,35.59
"EIG",0,34.01,34.63,34.0081,34.4545,34.1196,31.38
"EIGI",0,50.03,0,99.8805,99.8805,99.8805,99.88
"EIGR",92.68,97.23,103.65,94.6264,101.819,98.3767,105.43
"EINC",0,0,0,0,0,0,0
"EIX",25.29,28.85,30.36,26.8151,29.9317,29.1211,30.28
"EKSO",124.99,114.63,113.65,120.5492,113.8457,114.2782,115.12
"EL",25.03,30.7,28.45,27.4581,29.0897,30.297,28.93
"ELAN",40.09,43.72,41.31,41.6419,41.9977,43.2896,43.1
"ELD",44.2,15.04,17.19,17.1947,17.5183,17.1947,19.64
"ELF",43.51,55.07,51.84,48.4659,53.6542,54.7199,51.21
"ELMD",58.45,69.05,70.51,69.0469,69.6893,69.2074,68.76
"ELOX",254.82,303.31,0,275.5854,268.6091,294.6404,145.42
"ELP",0,50.05,50.61,50.0544,50.4504,50.1533,48.59
"ELS",22.38,29.3,25.93,25.3412,27.8177,28.9266,28
"ELY",49.51,55.52,57.61,52.0857,56.437,55.748,56.62
"EMAN",194,140.59,153.5,140.5862,154.8952,145.2002,164.06
"EMB",5.38,7.04,7.79,6.0872,7.9267,7.3076,8.8
"EME",33.82,31.15,33.69,32.6762,32.9641,31.6006,33.95
"EMKR",69.67,85.34,77.55,76.3839,77.4326,82.5572,76.64
"EMLC",13.13,9.18,10.16,11.435,9.8809,9.3516,17.79
"EMLP",0,0,0,26.4659,26.4659,26.4659,26.47
"EMN",29.07,33.15,34.67,30.8141,34.7001,33.6898,34.93
"EMQQ",38.68,37.15,38.06,38.0258,37.7996,37.3116,38.78
"EMR",26.93,30.28,31.03,28.1623,30.9475,30.5463,30.43
"ENB",23.81,28.51,26.02,25.8268,26.7293,28.0674,26.2
"ENBL",57.11,67.08,69.75,61.3779,68.2524,67.3698,69.69
"ENDP",79.28,84.62,94.74,104.3611,91.8527,86.4292,88.21
"ENG",191.96,199.31,195.17,195.1045,193.6548,197.8268,183.73
"ENIA",40.91,54.28,52.81,46.6396,53.2326,54.0192,39.05
"ENIC",256.35,143.55,52.03,143.5536,103.3127,133.5006,47.02
"ENLC",61.23,66.97,74.41,63.6872,74.4389,69.6323,74.6
"ENLV",266.01,132.85,129.42,132.8488,131.3405,132.472,125.83
"ENPH",74.81,80.53,79.46,77.2615,80.0616,80.4165,75.55
"ENR",33.14,43.57,41.23,37.609,42.543,43.3138,40.91
"ENS",55.84,40.1,39.69,49.1007,39.6098,39.9577,39.05
"ENSG",62.52,42.59,44.57,53.9836,44.6008,43.2945,44.82
"ENTA",57.57,55.75,42.56,56.7897,46.3221,53.3922,41.13
"ENTG",35.22,39.21,38.86,36.9276,39.0562,39.1742,38.42
"ENV",30.48,35.63,35.5,32.6851,35.5694,35.6116,35.49
"ENVA",48.79,63.44,58.94,55.0681,58.8182,61.8353,57.99
"ENZ",81.44,63.97,73.01,73.9559,70.4335,65.5837,57.86
"ENZL",23.2,23.53,24.24,23.3399,24.0366,23.6538,25.7
"EOG",51.57,51.61,53.62,49.5725,53.047,51.9693,52.15
"EOLS",117.01,143.5,132.85,128.3532,135.8862,141.5982,127.54
"EOSE",122.6,120.7,111,121.7877,116.4392,119.6387,110.07
"EPAC",39.71,47.46,39.26,43.0287,43.8524,46.5574,38.81
"EPAM",34.14,37.58,36.38,35.6142,36.7227,37.367,37.31
"EPAY",44.03,45.3,41.99,44.5736,41.9517,44.1183,41.68
"EPC",36.29,46.81,45.96,40.7936,46.4351,46.713,45.85
"EPD",30.18,34.08,34.18,31.3361,34.1378,34.1158,33.88
"EPI",21.94,22.75,23.9,25.5449,23.5725,22.956,23.84
"EPM",87.29,56.33,64.05,74.0293,61.8434,57.7046,66.78
"EPP",18.2,19.9,20.41,18.9301,20.2688,19.9953,21.24
"EPR",71.58,69.43,72.91,70.6558,71.9133,70.0473,76.46
"EPRT",46.51,41.92,44.24,44.5452,43.5803,42.3338,44.82
"EPV",47.53,44.25,45.09,46.1241,44.849,44.3966,46.28
"EPZM",90,73.61,74.97,82.9814,74.2071,73.7567,74.85
"EQC",24.98,22.8,21.25,24.0442,21.6886,22.5207,22.2
"EQH",35.26,38.14,39.11,36.4918,39.4735,38.4865,41.87
"EQIX",25.79,27.37,28.59,26.4657,28.667,27.8024,29.2
"EQNR",34.24,37.45,36.93,35.612,37.0789,37.3573,37.27
"EQR",32.75,32.51,33.28,32.6463,33.0598,32.6454,32.81
"EQT",65.25,71,74.66,67.7117,73.6502,72.308,67.02
"EQX",50.6,53.53,55.09,51.8545,54.6434,53.8051,56.43
"ERF",86.44,77.61,78.28,82.6571,78.0883,77.7309,78.58
"ERIC",26.93,36.31,34.51,30.9468,35.025,35.9898,36.53
"ERIE",24.91,24.67,27.35,24.6734,27.5101,25.6302,28.55
"ERII",52.56,39.96,44.99,47.1623,42.1698,40.5121,47.6
"ERJ",64.9,66.8,77.91,65.7152,74.7425,68.7824,76.22
"ERX",76.81,78.37,78.01,78.7681,78.1164,78.3083,76.11
"ERY",79.31,78.27,80.22,78.8642,79.6635,78.6212,76.84
"ES",20.67,22.47,23.67,21.4393,23.3263,22.683,23.11
"ESCA",64.9,70.76,71.36,65.9657,70.2288,68.0973,70.97
